,Question Number,Question,Number,Answer Number,Answer
0,Question 1.1,"/_387 You are given two glass jugs. Each contains the same volume,
V,o fl i q u i d . O n ej u gc o n t a i n sp u r ea l c o h o l ,a n dt h eo t h e rj u gc o n t a i n sp u r e
water. A modest quantity, Q,o fw a t e ri sp o u r e df r o mt h ew a t e rj u gi n t ot h e
alcohol jug, which is then thoroughly mixed. The same modest quantity, Q,
of (now diluted) alcohol is then poured back into the water jug to equalize the
volumes of the jugs at their initial levels.
The initial concentration of alcohol in the alcohol jug equals the initial concen-
tration of water in the water jug (at 100%). What is the relationship between
the ﬁnal concentrations of alcohol in the alcohol jug and water in the water
jug?1",1.1,Answer 1.1,"This question has appeared over and over again. Although simple,
it is rarely answered well. No calculation is required to determine the answer.
If you used anyalgebra whatsoever, stop now, go back, reread the question,
and try again.
When the quantity Qof water is poured into the alcohol jug, the concentration
of alcohol in the alcohol jug becomesV
V+Q.A f t e r m i x i n g a n d p o u r i n g s o m e
back, the concentration of alcohol in the alcohol jug does not change again
(because no new water is added). However, when the diluted alcohol is poured
back into the water jug, the concentration of water in the water jug changes
from 100% toV
V+Q.T h a ti s ,t h eﬁ n a lc o n c e n t r a t i o n sa r ei d e n t i c a l .
How do you see that the ﬁnal concentrations must be identical? Remember,
you do not need any calculations at all. In fact, the only reason for any
calculation is if you also want to ﬁnd out what the ﬁnal concentrations are
(you were not asked this, but if you wish to work it out, your calculations need
not go beyond those of the previous paragraph).
Here is how it works. At the end of the process, both jugs contain the same
volume of ﬂuid as they did at the start. The only way for the concentration
of alcohol (for example) to have changed from 100% is if some alcohol was
displaced by water. Similarly, the only way for the concentration of water to
have changed from 100% is if some water was displaced by alcohol. Volume is
conserved (both total volume and volume in each jug), so all that has happened
is that identical quantities of water and alcohol have traded places (and these
identical quantities are slightly less than Q). By symmetry, the concentrations
of alcohol in the alcohol jug and water in the water jug must be identical. This
ﬁnal result is true no matter how many times you repeat the experiment.
If you are still stuck, here is another way of thinking about it. Imagine a
black bucket with 1,000 black marbles in it and a white bucket with 1,000
©2021 Timothy Falcon Crack 102 All Rights Reserved Worldwide"
1,Question 1.10,"/_387 Picture a 10 ×10×10 “macro-cube” ﬂoating in mid-air. The
macro-cube is composed of 1 ×1×1 “micro-cubes,” all glued together. Weather
damage causes the outermost layer of micro-cubes to become loose. This
outermost layer falls to the ground. How many micro-cubes are on the ground?",1.1,Answer 1.10,"The 10 ×10 macro-cube question has been very popular. The most
common mistake is for people to count the number of 1 ×1 micro-cubes on
each face and add them up. Even if you do the mathematics correctly (and
most people do not), you miss the whole point.
If you focus on the 1 ×1m i c r o - c u b e so nt h ef a c e sa n dh o wt oc o u n tt h e m
directly (e.g., How many faces? How many on each face? How many edges?),
then you have been bumped by the pickpocket’s accomplice (see story on
p. 286). Go back now and ﬁgure out a better way. As I stated before, the
path of greatest resistance bears the highest rewards, so read no further unless
you did it a better way.
You must look for structure in a problem that leads you to a simple and speedy
solution. The most structure here is to be found in the macro-cube you start
with and the (now slightly smaller) macro-cube that remains. The diﬀerence
between their volumes is how many micro-cubes fell.
The volume of a cube of side length nisncubed; that is, n3.T h ea n s w e ri s ,
therefore, 103−83.
How do you calculate this without a calculator? You should know that 10k
is a 1 with kzeroes attached, so 103=1,000. You should know that 8 = 23
and, therefore, that 83=23×3=29.Y o u s h o u l d d e ﬁ n i t e l y k n o w t h a t 210
11In fact, the average number of children per family is only/summ⎬tiontext∞
k=1k
2k= 2. This formula is a
special case of a more general series result:/summ⎬tiontext∞
k=1k
xk=x
(x−1)2,for|x|>1, derived as follows.
Assume |y|<1, then/summ⎬tiontext∞
k=0yk=1
1−y.N o w d i ﬀ e r e n t i a t e b o t h s i d e s w i t h r e s p e c t t o y,t oﬁ n d/summ⎬tiontext∞
k=0k·yk=y
(1−y)2.N o ws u b s t i t u t ei n y= 1/ x, for |x|>1, and drop the null ﬁrst term. Then,/summ⎬tiontext∞
k=1k
xk=1/x
(1−1/x)2=x
(x−1)2.I thank NK for pointing out this simple derivation; any errors are
mine.
©2021 Timothy Falcon Crack 111 All Rights Reserved Worldwide"
2,Question 1.11,"/_387 There are two cities, A and B, 1,000 miles apart. You have
3,000 apples at City A, and you want to deliver as many as possible of them
to City B. The only delivery method available is a truck. There are, however,
two problems. The truck can hold at most only 1,000 apples, and if there are
any apples at all in the truck, the hungry dishonest driver will steal and eat
one apple for every mile he drives. What is the maximum number of apples
you can deliver from City A to City B? Note that you are welcome to stop
part way, dump oﬀ some apples, and then come back and pick them up later.",1.11,Answer 1.11,"If not for the ability to stop and dump apples along the way,
you could not deliver any apples at all.12So, the key is to make repeated
trips where you dump apples in a pile at the side of the road and then you
subsequently pick up and deliver apples from that apple dump. For example,
suppose you made three trips where each time you left City A with 1,000
apples and dumped 500 uneaten apples at the 500-mile marker. You would
then have accumulated 1,500 apples at the 500-mile marker and you could
deliver 500 of those to City B (e.g., in one trip of 1,000 apples where 500 are
delivered uneaten, and 500 are left to rot at 500-mile marker).
To ﬁnd the optimal strategy, we must put some bounds on what is sensible.
If you are driving away from City A, or away from an apple dump at the side
of the road, then if there are 1,000 or more apples available, it would never
make sense to leave with fewer than 1,000 apples on the truck. For example,
suppose your very ﬁrst move was to drive away from City A with only 900
apples. Well, no matter where you dump the uneaten balance, you missed
out on giving an extra 100 apples a free ride to that spot, and that must be
suboptimal. So, we should drive away from City A only three times, with
1,000 apples on board each time.
The next question is whether, for any one of these three departures from
City A, we dump the uneaten apples at only one apple dump, or whether we
dump them at more than one location. Suppose on one trip we dump 100
apples at the 100-mile marker, and then the uneaten balance at some later
spot. That cannot be sensible, because again, no matter where you dump the
uneaten balance, you missed out on giving an extra 100 apples a free ride to
that spot. So, we must choose a single dump location for each run.
Could dump locations diﬀer by run? Well, as long as we can get the dump
contents to cumulate to a multiple of 1,000 (see below), they should all be
dumped in the same place. Suppose instead that on the third run we dump
apples beyond the location of the dump from the ﬁrst two runs. Then driving
that odd-lot of apples to a further location unnecessarily burns apples because
it subsequently forces the truck to leave the earlier apple dump with fewer
than 1,000 apples. So, not only must we dump the apples in only one location
on any given trip, but we must dump them at the same location on each trip.
So, where do we dump the apples on the three departures from City A, before
subsequently loading up from that combined dump and carrying them further
on? Well, if we dump them at the k-mile marker, we will end up with a total
12Dumping apples part-way into the journey is akin to the “depoting” of food and supplies that
took place during Antarctic journeys (Scott, 2008).
©2021 Timothy Falcon Crack 112 All Rights Reserved Worldwide"
3,Question 1.12,"/_387 How many degrees (if any) are there in the angle between the
hour and minute hands of a clock when the time is a quarter past three?",1.12,Answer 1.12,"People have given me answers to this one ranging from 0◦to 75◦
(and many answers in between). The big hand is on the three; the little hand
13If we could slice the apples up, the continuous solution would be to dump them ﬁrst at the
3331
3-mile marker, then again at the 8331
3mile marker, ultimately delivering 8331
3apples.
14IfNis a very big number, and assuming a continuous solution, then using harmonic series
and the Euler-Mascheroni result lim n→∞/⎭r⎬cketleft⎜ig/summ⎬tiontextn
j=11
j−ln(n)/⎭r⎬cketright⎜ig
=γ,where γ≈0.5772156649 is the
Euler-Mascheroni constant, I was able to show that you end up delivering a proportion1
eof your
apples (roughly 36.8%). With N=3( 3 , 0 0 0a p p l e s ) ,w ed e l i v e ro n l y8 3 3a p p l e s( 2 7 . 8 % ) ,b u tt h i s
number rises steadily with N,c o n v e r g i n gt o1
e.
©2021 Timothy Falcon Crack 113 All Rights Reserved Worldwide"
4,Question 1.13,"/_387 What is the ﬁrst time after 3 pmwhen the hour and minute hands
of a clock are exactly on top of each other?",1.13,Answer 1.13,"I present three diﬀerent solutions: ﬁrst, an approximation that
draws upon the answer to the previous question; second, an exact algebraic
solution; and, third, an exact and slightly more elegant algebraic solution.
FIRST SOLUT ION
An approximate answer is a great place to start.16There are 360◦around the
clock face. The minute hand therefore travels at 6◦per minute. At 3:15 the
minute hand is 7 .5◦behind the hour hand (from the previous answer). To
travel that distance takes 7 .5/6 = 1 .25 minutes. That is, one minute and 15
seconds, or 75 seconds. So, at 3:16:15 the minute hand will arrive where the
hour hand was 75 seconds ago. Of course, the hour hand will have moved ever
so slightly during that 75 seconds. So, maybe you need to wait another, say,
ﬁve seconds until the two hands are perfectly coincident. That would be at
3:16:20. The exact solutions following are less than two seconds away from
this approximate answer.
SECOND SOLUT ION
The question asks the ﬁrst time after 3 pmwhen the hour and minute hands
of a clock are coincident. More generally, we can ask the ﬁrst time after npm
when the hour and minute hands are coincident, for n=1,2,. . . ,11 (we miss
out the 12 because the hands are not coincident after 12 and before 1).
Assume we start at npm,f o ro n eo f n=1,2,. . . ,11. By the time the minute
hand whips around to the non the dial, the hour hand will have moved slowly
on already. When the minute hand ﬁnally catches up with the hour hand, the
hour hand will have moved by a total of θ(n) degrees past the non the dial,
say. The minute hand whips around the dial 12 times faster than the hour
hand. So, while the hour hand covers θ(n) degrees, the minute hand covers
12·θ(n)d e g r e e s .
We can also state that the minute hand must have covered 30 n+θ(n)d e g r e e s .
That is 30 ndegrees to get around to the non the dial, and another θ(n)d e g r e e s
to ﬁnally catch the hour hand. So, we may write 30 n+θ(n)=1 2 ·θ(n), and
thus, θ(n)=3 0 n/11 degrees.17
15There are 2 πradians in a full circle. Thus, 360◦=2πradians; 180◦=πradians; 90◦=π
2
radians; and so on. It is just another way of measuring angles.
16I thank Eoin Healy for suggesting this approximation; any errors are mine.
17It also follows that θ(n)=n·θ(1) for n=1,2,. . . ,11, where θ(1) = 30/11 degrees.
©2021 Timothy Falcon Crack 114 All Rights Reserved Worldwide"
5,Question 1.14,"/_387 There are 100 light bulbs lined up in a row in a long room. Each
bulb has its own switch and is currently switched oﬀ. The room has an entry
door and an exit door. There are 100 stockbrokers lined up outside the entry
©2021 Timothy Falcon Crack 50 All Rights Reserved Worldwide",1.14,Answer 1.14,"Well now, this looks pretty complicated the ﬁrst time you see it.
However, there is a simple way to ﬁgure it out. If you think about it, you see
that the only brokers who touch the switch for light bulb number 64 are those
whose numbers are divisors of 64.
That is, light bulb number 64 has its state of illumination changed by brokers
whose numbers are factors of 64. That is, brokers 1, 2, 4, 8, 16, 32, and 64
ﬂip the switch. Because light bulb 64 is originally oﬀ,i tm u s tb et h a ta f t e r
this odd number of switches it is on. See Answer 1.15 for a closely related but
more general solution technique."
6,Question 1.15,"/_387 Exactly the same set-up as Question 1.14, with a diﬀerent ﬁnal
question: How many of the light bulbs are illuminated after the 100th person
has passed through the room, and which light bulbs are they?",1.15,Answer 1.15,"If you now know the answer to Question 1.14, you should be able
to ﬁgure this one out swiftly. If you have not yet ﬁgured out Question 1.14,
then read no further—solve that one ﬁrst.
The only way for a light bulb to be illuminated after the 100th person has
passed through is if its switch was ﬂipped an odd number of times. The
switch for light bulb number Kgets ﬂipped only by people whose numbers
are factors of K.T h u s ,t h eo n l yl i g h tb u l b si l l u m i n a t e da tt h ec o n c l u s i o na r e
those with a number that has an odd number of factors.
However, factors for numbers go in pairs. For example, 32 has factors (1 ,32),
(2,16), and (4 ,8). This means that 32 has an even number of factors, and bulb
©2021 Timothy Falcon Crack 115 All Rights Reserved Worldwide"
7,Question 1.16,"/_387 Your bedroom sock drawer contains eight red socks and 11 blue
socks that are otherwise identical. The light is broken in your bedroom, and
you must select your socks in the dark. What is the minimum number of socks
you need to take out of your drawer and carry into your (well-lit) living room
to guarantee that you have with you at least a matching pair to choose from?",1.16,Answer 1.16,"This is an old favorite. I have tried this out on people and have
received almost all imaginable responses. The answer is three, and it cannot
be anything else. Two socks can be diﬀerent, but a third must match one of
the ﬁrst two—giving a matching pair."
8,Question 1.17,"/_387 Following on from the previous question, can you generalize your
answer to otherwise-identical socks of Ndiﬀerent colors? For example, suppose
you have 50 socks of color 1, 50 socks of color 2, . . . , and 50 socks of color N,
how many socks must you pull from your sock drawer in the dark to guarantee
that you have a matching pair?",1.17,Answer 1.17,"With socks of Ndiﬀerent colors, you must pull ( N+1 ) s o c k s
from the drawer to be sure that you have a matching pair. The argument is
the same as it was for the previous question; Nsocks can be diﬀerent (the
worst-case scenario), but the ( N+1 )stsock must match one of the ﬁrst N
socks—giving a matching pair."
9,Question 1.18,"/_387 Following on from the previous two questions, your bedroom
sock drawer contains 2 red, 4 yellow, 6 purple, 8 brown, 10 white, 12 green,
14 black, 16 blue, 18 gray, and 20 orange socks. It is dark, so you cannot
distinguish between the colors of the otherwise-identical socks. How many
socks do you need to take out of the drawer to guarantee that you have at
least three pairs of socks of the same color?
Story: One of my students was asked to “Describe the best boss you have
ever had. ” Watch out for the opposite question: “Describe the worst boss you
have ever had. ” Your answer may indicate disloyalty to a (former) employer.",1.18,Answer 1.18,"Like the answer to the previous question, ask yourself ﬁrst what is
the worst-case scenario? That is, what is the maximum number of socks you
can select without obtaining the required three matching pairs? Recall that
the counts/colors are 2 red, 4 yellow, 6 purple, 8 brown, 10 white, 12 green,
14 black, 16 blue, 18 gray, and 20 orange socks. You will never be able to get
three-pair of the red or yellow socks because there are too few of them. There
are only eight candidate colors remaining. Thus, the worst-case scenario is
that you select 2 red, 4 yellow, and 5 of each of the remaining eight colors,
giving a total of 46 socks. As soon as you select a 47thsock, however, its color
must match the color of one of the previously selected quintuples in those eight
colors. Thus, you need at least 47 socks to guarantee a matching pair."
