,Question Number,Question,Number,Answer Number,Answer
0,Question 4.1,"A breakfast cereal company gives away a free toy in each box of
cereal. There are four diﬀerent toys. How many boxes do you expect to have
to buy in order to get all four toys?",4.1,Answer 4.1,"Before giving an algebraic answer, I think you should have a guess.
This shows that you can guess, and it gives you a baseline number to compare
your algebraic answer with, which could produce a warning red ﬂag if you
make a mistake with the algebra.
Obviously, when you buy your ﬁrst cereal box, you get one of the four toys
with probability one on that draw. As you acquire diﬀerent toys, however, the
likelihood that you get the next one in only one draw falls. For example, by
the time you already have three of the four toys, you only have one chance in
four that the next draw will give you the fourth. So, the absolute minimum
number of purchases required is four, but you could buy 100 boxes, and not
get all four toys—though this latter outcome seems very unlikely. Weighing
these odds up, my gut instinct is that it should take something like 10 draws
on average to get all four toys.
Now let us solve the problem algebraically. Consider ﬁrst the more general
problem of having Ttoys. (As an aside, note that the answer we seek must
also be the same as if we roll a T-sided die and we ask how many rolls do we
expect to have to make in order to have seen all Tsides appear.)
Let us give a simple recursion argument. Suppose that Tis the number of
diﬀerent toys we seek. Let us suppose that we are currently attempting to
get our tthtoy, having already found ( t−1) diﬀerent toys. We can immedi-
ately see that the probability, ptthat we get the tthtoy in only one draw is
[T−(t−1)]/T. For example, when seeking the ﬁrst toy, p1=1 ,a n dw h e n
seeking the second toy, p2=(T−1)/T,a n ds oo n .
LetNtbe the number of draws required to obtain the tthtoy, having already
found ( t−1) diﬀerent toys. Then there is probability ptthat we get the tth
toy in one draw, and probability (1 −pt)t h a tw eh a v et od r a wa g a i n . G i v e n
independence of outcomes on diﬀerent draws, it follows that we have a simple
recursion for E(Nt)g i v e nb y
E(Nt)=pt·1+( 1 −pt)·[1 +E(Nt)].
©2021 Timothy Falcon Crack 287 All Rights Reserved Worldwide"
1,Question 4.10,"/_387 (**) Two sealed envelopes are handed out. You get one and
your competitor gets the other. You understand that one envelope contains
mdollars, and the other contains 2 mdollars (where mis unstated).3
1.Ifyou peek into your envelope, you see $X. However, you do not know
whether your opponent has $2 Xor $1
2X.Without peeking ,w h a ti sy o u r
expected beneﬁt to switching envelopes? What is your opponent’s ex-
pected beneﬁt to switching envelopes (assuming your opponent sees $Y)?
Should you switch? If you do, do you do it again for the same reason
(assuming neither of you peeked)?
2. Suppose that you both peek into your envelopes initially. What is the
payoﬀ to switching? Should you switch? If you do, do you do it again
for the same reason?",4.1,Answer 4.10,"This has been a very popular question. Assume that neither of
you peek into your envelopes. Assume that you have $ Xin your envelope,
where $ Xhas a ﬁfty-ﬁfty chance of being either $ mor $2 m.T h i sm e a n st h a t
your opponent’s envelope has a ﬁfty-ﬁfty chance of containing $2 Xor $1
2X.
The expected value of switching is
/p⎬renleft⎭igg1
2×$2X/p⎬renright⎭igg
+/p⎬renleft⎭igg1
2×$1
2X/p⎬renright⎭igg
=$ 1.25X.
The expected beneﬁt of switching is, therefore, $0 .25X. On this basis, it looks
as though you should switch envelopes. Of course, if your opponent does not
peek, and she has $ Yin her envelope, exactly the same argument shows that
she has an expected beneﬁt to switching of $0 .25Y.S o ,i tl o o k sa st h o u g hs h e
should switch also. This is the ﬁrst part of the “Exchange Paradox”: it seems
that you both beneﬁt from switching.
Now, suppose that neither of you peek and that you do switch envelopes once.
If you still do not peek, then a repeat of exactly the same argument suggests
an expected beneﬁt of 0 .25 of the contents of your envelope if you switch again.
The same applies to your opponent. This is the second part of the “Exchange
Paradox”: it seems that you could happily switch forever (like a dog chasing
its own tail). The foregoing is the naive answer.
The problem is twofold: First, you are assuming that value is expected payoﬀ
(this is so only if you are genuinely risk-neutral);8second, your “prior” beliefs
8An aside is in order. In corporate ﬁnance, the present value of a projected random payout
is the discounted expected cash ﬂow. The discounting is done at a rate that incorporates risk
(e.g., using the CAPM), and the expectation is a mathematical one using real world probabilities
(Brealey and Myers [1991]). An alternative to the real world expected cash ﬂow coupled with
the risk-adjusted discount rate is a risk-neutral world expected cash ﬂow coupled with a riskless
discount rate. The former is popular in corporate ﬁnance; the latter is popular in option pricing
(see Arnold and Crack [2004] and Arnold, Crack and Schwartz [2009, 2010]). With no discounting
(e.g., the envelope question), value is expected payoﬀ only if you are risk-neutral.
©2021 Timothy Falcon Crack 297 All Rights Reserved Worldwide"
2,Question 4.11,"They call this the “World Series” problem in the U.S. Sports
teams “A” and “B” are to play each other until one has four wins and is
declared the series winner. You have $100 to bet on Team A to win the
series. You are, however, only allowed to bet on individual games, not the
ﬁnal outcome directly, and, you must bet a positive amount on each game.
So, if Team A wins the series, you must walk away with $200, but if Team A
loses the series, you must walk away with zero, and you must do so having
placed a non-zero bet on every game. Your best assessment is that Team A
2If you were running this game, how much would you charge players for repeated plays of the
game? Suppose instead an amended game is played: I roll a single die three times without pause,
and the payoﬀ to the player is the maximum of the three rolls. What is the expected payoﬀ to
the player? Can you tell up front whether the original or amended game has the higher expected
payoﬀ?
3This problem is over 40 years old and is known as the “Exchange Paradox. ”
©2021 Timothy Falcon Crack 79 All Rights Reserved Worldwide",4.11,Answer 4.11,"This is a very common question and has been in use since at least
1990. Well, the ﬁrst thing to notice is that you are trying to replicate a $100
bet on Team A to win the series and you are doing this via a series of small
bets. At each step, there are two possible outcomes: Team A wins, or Team A
loses. With replication, time steps, and binomial outcomes, the obvious thing
to do is build a lattice for a replicating strategy (see Figure D.1). To deduce
the betting strategy in Figure D.1, I ﬁrst drew the lattice and identiﬁed the
boundary nodes at which the game must end (marked with large dots). You
start with $100 in wealth. In the case where Team A has won four games,
you must end up with an accumulated wealth of $200 through $100 in betting
proﬁts; In the case where Team B has won four games, you must end up with
an accumulated wealth of $0 through $100 in betting losses. It is simple to
step back from each pair of ending nodes (starting with the right-most pair)
to deduce how much you must bet in each case (working back to $31.25 on
the ﬁrst game) in order to end up replicating the payoﬀs at the boundary. If
you follow this betting strategy, you are guaranteed to replicate the payoﬀ to
betting $100 on Team A to win the series. The given probabilities are “red
herrings” because you do not need any probabilities, physical world or risk-
neutral, to solve this problem. Note, ﬁnally, that I have assumed that you
earn no interest on your wealth."
3,Question 4.12,"You have three children, but only one apple. You want to toss
a fair coin to determine which child gets the apple. You want each child to be
equally likely to get the apple. What is your strategy?",4.12,Answer 4.12,"There are many different possible answers; I give only two. Toss
the coin twice. If you get HT, give the apple to the first child. If you get TH,
give the apple to the second child. If you get HH, give the apple to the third
child. If you get T T, then start again. This effectively takes T T out of the sample space.

A second solution is to toss the coin three times and assign the outcomes to the
three children. Let T win. If one child beats the other two (i.e., the outcome
is some permutation of {T, H, H}), then give the apple to the child who was
allocated the T. Otherwise, toss three more times. This is isomorphic to a
tournament where each child competes against each other child until one child
beats both others."
4,Question 4.13,"You have three children, but only one apple. You want to toss
a fair coin to determine which child gets the apple. You want each child to be
equally likely to get the apple. What is your strategy? What is the expected
number of tosses needed to complete this strategy?",4.13,Answer 4.13,"If you toss the coin twice and
getTT,t h e ny o uh a v et os t a r ta g a i n . T h e r ei st h u sac h a n c et h a ty o uw i l l
take more than 2 tosses to complete the strategy. We can use a recursion to
ﬁnd the expected number of tosses. Let Nbe the number of tosses required,
then there is a three quarter chance that Nwill be 2, but a one-quarter chance
that you have to start again (in the TToutcome). Thus E(N)=/⎭r⎬cketleft⎜ig
3
4·2/⎭r⎬cketright⎜ig
+/⎭r⎬cketleft⎜ig
1
4·(2 + E(N))/⎭r⎬cketright⎜ig
=2+E(N)
4. Simple algebra now yields E(N)=8
3=22
3.

Alternatively,11 consider each double-toss as a Bernoulli trial with probability
of success p = 3/4 (i.e., we have a success if anything but a T T occurs). Then
the geometric distribution fX(x) = P(X = x) = p � qx?1 for x ? 1 counts the
number of trials up to and including the first success (Spiegel, 1975; Evans et
al., 1993). We have E(X) = 1/p = 4/3, and thus E(N)=2 � E(X) = 8
3 , as
before.
From my second answer in Answer 4.12: We will need at least three tosses in
this case, but there are five chances in eight that we will need more than three
tosses. Using a recursive argument similar to that above, we figure that the
expected number of tosses in this case is E(N) = 8.
©2021 Timothy Falcon Crack 299 All Rights Reserved Worldwide"
5,Question 4.14,"You have three children, but only one apple. You want to toss
a fair coin to determine which child gets the apple. You want each child to be
equally likely to get the apple. You have a fair
coin and you want to simulate an event that has probability 1/3, and an
event that has probability 2/3. How do you do it?",4.14,Answer 4.14,"To simulate an event with probability 1/3 using a fair coin, toss
the coin twice. If you get HH, let that be your event with probability 1/3.
If you get HT or TH, let that be your event with probability 2/3. If you get
T T, then ignore it, and toss twice again. By removing T T from the sample
space, the outcomes are restricted to three equally likely possibilities."
6,Question 4.15,"What is the expected number of tosses of an unfair coin needed
to get two heads ( HH) in a row (assume probability pof a head)? Same
question with three heads ( HHH )i nar o w .",4.15,Answer 4.15,"Start with a simple case ﬁrst: What if you only need the expected
number of tosses required to get onehead? Let Nbe the number of coin
tosses, then we want to ﬁnd E(N|1H) (expected number of tosses given that
you seek only one head). Toss the coin once. Either you get a head (with
probability p)o ry o ug e tat a i l .I fy o ug e tat a i l ,t h e ny o ua r er e c u r s i v e l yb a c k
where you started. That is, there is probability pthat N=1 ,a n dp r o b a b i l i t y
1−pthat you still have E(N|1H)t o s s e st og oa f t e rt h eo n ey o ua l r e a d yt o s s e d .
In other words,
E(N|1H)=( p·1) + (1 −p)·[1 +E(N|1H)].
Solving for E(N|1H)g i v e s E(N|1H)=1
p.C h e c k :t h eh i g h e ri s p,t h el o w e ri s
E(N|1H), and when p=0.50 (a fair coin), E(N|1H) = 2, all of which seems
reasonable.
Now consider the case of two heads in a row. Well, to get two heads in a
row, you ﬁrst need one head “in a row,” which requires the expected1
ptosses
just calculated. If you have this one head already, then there is probability
pthat your next toss will be a head, and probability (1 −p)t h a ty o ua r e
back where you started having performed E(N|1H)p l u so n et o s s e sa l r e a d y .
In other words,
E(N|2H)= p·[E(N|1H)+1 ]+( 1 −p)·[E(N|1H)+1+ E(N|2H)]
=E(N|1H)+1+( 1 −p)·E(N|2H).
This last line implies that
E(N|2H)=E(N|1H)+1
p=1+p

In the case of a fair coin, this gives E(N|2H) = 6. Exactly the same reasoning
in the case of three heads in a row leads us to
E(N|3H) = E(N|2H)+1
p = 1 + p + p2
p3 .
In the case of a fair coin, this gives E(N|3H) = 14. It should be clear that
there is a pattern: in the case of J heads in a row,
E(N|JH) =
%i=J?1
i=0 pi
pJ .
This can be proved formally using numerical induction if you wish.
p2.
11It h a n kM a r kC a w s t o nf o rd i s c u s s i o n sr e g a r d i n gt h i sa n s w e r ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 301 All Rights Reserved Worldwide"
7,Question 4.16,"You are tossing a fair coin and writing down the outcomes. What
is the probability that you will see the sequence HTH before you see the
sequence HHT ?",4.16,Answer 4.16,"When repeatedly tossing a fair coin, what is the probability that
you will see the sequence HTH before you see the sequence HHT ?
At ﬁrst blush, you might say that with a fair coin and equally likely outcomes,
and independent tosses, any of the eight possible triplets is as likely as any
other, and so the answer is 50%. Although any triplet is equally likely in three
tosses, it does not necessarily follow that you are equally likely to see any one
triplet before another in repeated tosses. This is because one outcome can
prevent another outcome.
For example, suppose we had been asked how likely it is that we will see
triplet HHH before triplet THH .I nt h i sc a s e ,t h eo n l yw a yt h a ty o uw i l ls e e
HHH before THH ,i si ft h eﬁ r s tt h r e et o s s e sa r eh e a d s ,w h i c hh a p p e n sw i t h
probability one eighth. If you see anything other than three heads in the ﬁrst
three tosses, then THH must occur before HHH .T h i si sb e c a u s ee a c ho ft h e
other seven triplets includes a T, and once you have seen a T, you only need
to see the ﬁrst two Hso fHHH to see THH . So, seeing a Tprevents you
from seeing HHH before THH .
For the case in hand, how likely are you to see HTH before HHT ? Well, both
triplets need an Hto get started. So, we can completely ignore any outcome
until we get an H. For this reason, my tree in Figure D.2 starts with an H.
Now the argument is quite simple. If there is a second H(i.e., the upper
branch of the ﬁrst fork), then HHT must “win” (i.e., occur ﬁrst) eventually.
The only way that HHT would not win is if there were an inﬁnite sequence
ofHs—which happens with probability zero.
If the ﬁrst His followed by a T(i.e., the lower branch of the ﬁrst fork in
Figure D.2), then either the next toss is an H,a n d HTH wins, or the next
toss is a T,a n dw er e s t a r tt h eg a m e .
Given that the lower branch of the second fork restarts the game, we can
treat this outcome as if it is not in the sample space at all. This is perfectly
analogous to Answer 4.12, where we tossed a coin twice to give an apple to
one of three children with equal probability, but we restarted the game if TT
occurred.

So, removing the lower branch of the second fork from the sample space leaves
us only with HHT being twice as likely to win as HTH. Grossing up the probabilities gives HHT a 2/3 probability of winning and HTH a 1/3 probability
of winning.
©2021 Timothy Falcon Crack 302 All Rights Reserved Worldwide"
8,Question 4.17,"You are tossing a fair coin and writing down the outcomes. What
is the expected number of tosses needed to obtain the outcome HTH ?",4.17,Answer 4.17,"When tossing a fair coin, the number of tosses, N, needed to
obtain the outcome HTH is a random variable. What is E(N)? This question
diﬀers from the previous question in two ways. First, we are counting tosses
here, rather than focusing solely on probability of outcomes. So, we need to
count the tosses needed to get that ﬁrst Hin this case. Second, there is no
competition between triplets vying for their ﬁrst appearance. So, no outcome
prevents us from eventually getting HTH .
In Figure D.3 I have repeated the tree from Figure D.2, but I have added the
earlier fork needed to get the ﬁrst H. We now look at Figure D.3 and use
ar e c u r s i v ea r g u m e n tt w i c e . W i t h Nas the number of tosses needed to get
HTH ,w el o o ka tp r o b a b i l i s t i co u t c o m e so nt h eﬁ r s tf o r ko ft h et r e e . I fw e
toss a Tﬁrst, then we have burned one toss, and we restart again with E(N)
additional tosses expected. So, an initial Toutcome gives a half a chance that
we take [1 + E(N)] tosses. If, instead, we toss an initial H,t h e nw eh a v e
burned one toss, and we now need to ask what is E(X|H), where X|His the
count of ex tra tosses required conditional upon having obtained the initial H.
12More formally, we are rescaling the probabilities in the tree by dividing them through by
P(¬HTT )=3 / 4 . S o ,f o re x a m p l e , P(HHT |¬HTT )=P(HHT ∩¬HTT )
P(¬HTT )=1/2
3/4=2
3,w h e r e ¬is the
logical not symbol.
©2021 Timothy Falcon Crack 303 All Rights Reserved Worldwide"
9,Question 4.18,"/_387 You and I are to play a game. You roll a die until a number
other than a one appears. When such a number appears for the ﬁrst time, I
pay you the same number of dollars as there are dots on the upturned face of
the die, and the game ends. What is the expected payoﬀ to this game?",4.18,Answer 4.18,"This is elementary statistics, and one of the easiest questions in
this book. The rules of the game have eﬀectively removed the 1 from the
sample space (i.e., the collection of possible outcomes). It follows that there
are ﬁve possible outcomes (2 to 6), and each is equally likely. The expected
outcome is simply/summ⎬tiontexti=6
i=2i
5=$ 4.
To do the sum in your head, remember that the dots on the opposing faces of
the die add to seven. The sum must be three times seven, less one to give 20.
Now divide by ﬁve to get the expected payoﬀ of $4."
