Item Number,Content
Answer 1.1,"This question has appeared over and over again. Although simple,
it is rarely answered well. No calculation is required to determine the answer.
If you used anyalgebra whatsoever, stop now, go back, reread the question,
and try again.
When the quantity Qof water is poured into the alcohol jug, the concentration
of alcohol in the alcohol jug becomesV
V+Q.A f t e r m i x i n g a n d p o u r i n g s o m e
back, the concentration of alcohol in the alcohol jug does not change again
(because no new water is added). However, when the diluted alcohol is poured
back into the water jug, the concentration of water in the water jug changes
from 100% toV
V+Q.T h a ti s ,t h eﬁ n a lc o n c e n t r a t i o n sa r ei d e n t i c a l .
How do you see that the ﬁnal concentrations must be identical? Remember,
you do not need any calculations at all. In fact, the only reason for any
calculation is if you also want to ﬁnd out what the ﬁnal concentrations are
(you were not asked this, but if you wish to work it out, your calculations need
not go beyond those of the previous paragraph).
Here is how it works. At the end of the process, both jugs contain the same
volume of ﬂuid as they did at the start. The only way for the concentration
of alcohol (for example) to have changed from 100% is if some alcohol was
displaced by water. Similarly, the only way for the concentration of water to
have changed from 100% is if some water was displaced by alcohol. Volume is
conserved (both total volume and volume in each jug), so all that has happened
is that identical quantities of water and alcohol have traded places (and these
identical quantities are slightly less than Q). By symmetry, the concentrations
of alcohol in the alcohol jug and water in the water jug must be identical. This
ﬁnal result is true no matter how many times you repeat the experiment.
If you are still stuck, here is another way of thinking about it. Imagine a
black bucket with 1,000 black marbles in it and a white bucket with 1,000
©2021 Timothy Falcon Crack 102 All Rights Reserved Worldwide"
Answer 1.2,"I give three successively shorter solutions. The ﬁrst is a hammer-
and-tongs solution that lays everything out in detail. The second is more
elegant, and the third is more elegant still. Each solution brings something
slightly diﬀerent to the table.
FIRST SOLUT ION
LetDbe the number of steps showing on the escalator at any moment ( D
for distance, counted in units of one step). Let ebe the (assumed constant)
speed of the escalator, in steps per second. Let vMbe Myron’s relative speed
of ascent up the escalator (which is the same whether the steps are moving or
not). If vM= 0, then Myron will climb zero steps under his own steam. If
vM=∞,t h e nM y r o nw i l lc l i m b Dsteps. So, it will be the relative diﬀerences
in speed that let us identify D.
Myron’s absolute speed up the incline holding the escalator is e+vM.S o ,
Myron must cover the distance Din time tM, spent on the escalator, as given
by Equation A.1.
tM=D/(e+vM) (A.1)
How many steps does Myron climb in time tM?W e l l , a t s p e e d vM,w ej u s t
need to multiply time taken by speed, as in Equation A.2.
steps climbed (Myron) = tM·vM=DvM/(e+vM) (A.2)
We should double check that the RHS of Equation A.2 conforms to our intu-
ition. If we plug vM= 0 into Equation A.2 we get zero steps, as expected, for
anye>0. Similarly, if we take the limit of Equation A.2 as vM→∞,w eg e t
Dsteps, for any e≥0.
Now let vFdenote Fischer’s slower speed, where 2 vM=3vF.T h e n , f r o m
Equation A.2 and the relative speeds, we have Equations A.3–A.5.
steps climbed (Myron) = 25 = DvM/(e+vM) (A.3)
steps climbed (Fischer) = 20 = DvF/(e+vF) (A.4)
2vM=3 vF (A.5)
©2021 Timothy Falcon Crack 103 All Rights Reserved Worldwide"
Answer 1.3,"If you answered 20 (i.e., 4 ×5) minutes, then go back to the ques-
tion and think again. You need to be hardwired to ignore such “pickpocket
answers” (see story on p. 286).
Although not stated, we should assume the bells ring at equal spaced intervals.
If one bell rings ﬁve times per minute, then that is every 12 seconds. The other,
at four times per minute, rings every 15 seconds. They will next ring together
at the 60 second mark. The answer is one minute.
Story: “One cocky job candidate interviewed with several male managers at
a major bank before being ushered into an interview with a female manager.
He sat across from her, put his feet on her desk and said, ‘Get me a Coke. ’ ”
Michael Zwell
Michael Zwell & Associates, Chicago
“Doomed Days: The Worst Mistakes Recruiters Have Ever Seen,”
The Wall Street Journal ,F e b r u a r y2 5 ,1 9 9 5 ,p R 4 .
Reprinted by permission of The Wall Street Journal
©1995 Dow Jones and Company, Inc.
All Rights Reserved Worldwide.
1It h a n kM a l c o l mA .C r a c kf o rs u g g e s t i n gt h i st e c h n i q u e ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 105 All Rights Reserved Worldwide"
Answer 1.4,"This is a very common question, and a very simple one. You need
to ﬁgure out the sum: 1 + 2 + 3 + ···+ 99 + 100. There are several ways to do
this.
FIRST SOLUT ION
As i m p l et e c h n i q u ei st on o t et h a tt h eﬁ r s ta n dl a s tt e r m sa d dt o1 0 1 . T h e
second and second-to-last terms also add to 101. The same is true of the third
and third-to-last terms. Continuing in this fashion, you soon ﬁnd yourself with
50 pairs of numbers adding to 101; 50 times 101 is 5,050.
SECOND SOLUT ION2
A simple technique you can picture easily is the following:
123 ... n −1 n
n n−1n−2... 2 1
n+1 n+1 n+1 ... n +1 n+1
There are nterms each equal to n+ 1. The required sum is half the grand
total:n(n+1)
2.
T HIRD SOLUT ION
Ir e a ds o m e w h e r em a n yy e a r sa g ot h a tt h eh i g hs c h o o ld r o p - o u tA l b e r tE i n s t e i n
devised the following alternative solution technique at age 15. Think of each
summand, i,i nt h es u m/summ⎬tiontext100
i=1ias a group of imarbles in a row from i=1t o
i=1 0 0( s e et h ea r r a yf o l l o w i n g ) . S t a c k i n ge a c hr o wo fm a r b l e so nt o po fe a c h
previous row, you get the array including both the diagonal and the lower-
triangular oﬀ-diagonal. Were the array full, it would contain 100 ×100 = 1002
marbles. So, your answer must be roughly half this (roughly 50 ×100). This
is not exact because although the array contains two triangular-shaped oﬀ-
diagonals (upper and lower), there is only one diagonal. If you add another
diagonal, and then split the total in two, you get the right answer. The diagonal
contains 100 marbles, so the right answer must be1002+100
2=5,000 + 50, as
before.
⎛
⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎜⎝123456 ···100
1 •
2 ••
3 •••
4 ••••
5 •••••
6 ••••••
........................
100 ••••••· · · •⎞
⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎟⎠
More generally, the sum from 1 to nmay be written down asn2+n
2=n(n+1)
2.
2I thank Tom Arnold for this solution technique; any errors are mine.
©2021 Timothy Falcon Crack 106 All Rights Reserved Worldwide"
Answer 1.5,"The numbers on the dial add to 78 in total (recall that/summ⎬tiontext12
i=1=
12(12+1)
2=6×13). So, each piece must have a total of 26 on it. My initial
attempt was to ﬁnd slices (like pizza slices) that satisfy the constraint. Walking
around the dial looking for consecutive numbers that add to 26, you soon ﬁnd
that 5-6-7-8 adds to 26, and 11-12-1-2 adds to 26, but nothing else works. So,
none of the pieces is pizza-slice shaped. They are 5-6-7-8, 11-12-1-2, and a
band across the middle with 10-9-3-4."
Answer 1.6,"This challenging question has been very popular. Sometimes it is
balls, sometimes marbles, sometimes coins. I present two solutions.3
FIRST SOLUT ION4
Let me write, say, 1Hif marble 1 is heavy or potentially heavy (it should be
clear by the context), but if it cannot be light. Similarly, let me write 1Lif
marble 1 is light or potentially light, but if it cannot be heavy. Using this
notation, the 12 marbles yield 24 diﬀerent possible outcomes, because each
marble may be heavy or light, relative to its peers:
1H 2H 3H 4H 5H 6H 7H 8H 9H 10H 11H 12H
1L 2L 3L 4L 5L 6L 7L 8L 9L 10L 11L 12L.
Split the 12 marbles into three groups: Let these be, say, marbles 1–4, marbles
5–8, and marbles 9–12. Compare marbles {1234 }(in the ﬁrst dish) with
marbles {5678 }(in the second dish). There are three cases, as follows.
Case 1: The ﬁrst dish is heavy. In this case, we have reduced the 24 possible
outcomes to only eight possible outcomes, as indicated:
1H 2H 3H 4H 5H 6H 7H 8H 9H 10H 11H 12H
1L 2L 3L 4L 5L 6L 7L 8L 9L 10L 11L 12L.
3One of my readers, who tried this at home, said that the methods given here, while successful
in theory, would not work in practice. He said he would need to add the use of a marker pen to
the problem statement to keep track of which marble was which when swapping marbles between
the dishes on the balance.
4It h a n kT o d o rB o n c h e va n dJ a b r a nZ a h i df o rt h i ss o l u t i o nt e c h n i q u e ;a n ye r r o r sa r em i n e .
©2021 Timothy Falcon Crack 107 All Rights Reserved Worldwide"
Answer 1.7,"I have drawn a right-angle triangle on Figure A.1 using R,t h e
radius of the circle. Once we solve for R,t h es i d el e n g t hi s S=2R.
From Figure A.1 we deduce that R2=(R−10)2+(R−5)2(via Pythagoras’
Theorem).8Collecting terms, we quickly ﬁnd that R2−30R+1 2 5 = 0 .It
follows (using the quadratic formula) that this polynomial has two roots R1
andR2given by
R1,R2=−B±√
B2−4AC
2A=30±√900−500
2=1 5 ±10 = 5 ,25.
Only one of those, R= 25, has a sensible physical interpretation in our case.9
It follows that S=2R=5 0 .
7This solution combines independent contributions of Juan Tenorio, Bingjian Ni, Yi Shen, and
Jinpeng Chang; any errors are mine.
8Recall Pythagoras’ Theorem. Consider a triangle with side lengths X,Y, and Z. If the angle
between the sides of length XandYis 90◦, then it is a right-angle triangle. The side of length Z
(the “hypotenuse”) must be the longest side, and it must be that X2+Y2=Z2.
9Note that the case R= 5 corresponds to S=1 0 ,i nw h i c hc a s et h ec o r n e ro ft h eb o xt o u c h e s
the far side of the circle, not the near side. This is inconsistent with the diagram drawn by the
interviewer.
©2021 Timothy Falcon Crack 109 All Rights Reserved Worldwide"
Answer 1.8,"You (the bug) cannot ﬂy; you have to walk. You must ﬁnd the
shortest path from corner to corner.
In any world, the shortest path between two points is called a “geodesic. ” On
a spherical world (e.g., the Earth’s surface), a geodesic is an arc of a “great
circle. ” A great circle is a circle on the surface of the sphere with diameter
equal to the diameter of the sphere. For example, airplanes typically follow
great circles above the Earth (because it is the shortest path and, therefore,
the most fuel-eﬃcient path).
Like a spherical world, the cubic-room world has a two dimensional surface.
However, the lack of curvature in the cubic-room world means that the shortest
distance between two points must be a straight line rather than an arc of a
great circle (in a world without curvature, geodesics are straight lines).
If the cubic room is opened up and ﬂattened out it can be seen that the shortest
path is a straight line from one corner to the other. In the un-ﬂattened room,
this straight line corresponds to two line segments that meet exactly halfway
up one wall-ﬂoor or wall-wall boundary. Direct computation using Pythagoras’
Theorem10reveals that the total path length is√
5u n i t s .
10In this case, the path is the hypotenuse of a triangle of side lengths 2 and 1 in the ﬂattened-out
room or two hypotenuses of triangles each of side lengths 1 and1
2in the un-ﬂattened room. In
either case, the path is of total length√
5.
©2021 Timothy Falcon Crack 110 All Rights Reserved Worldwide"
Answer 1.9,"People tend to overlook the brilliantly simple situation described.
If you did any mathematics whatsoever, you probably missed the point.
No calculation is needed to see that at each stage an equal number of male
babies and female babies are expected to be born. The proportions of male
and female children are, therefore, expected to remain equal at 50%.
Still stuck? Here are the details (standing at t=0a n dl o o k i n ga te x p e c t e d
outcomes only): by the end of the ﬁrst year, the 100,000 families have 50,000
boys and 50,000 girls. The proportion of male children stands at 50%. By the
end of the second year, half of the 100,000 families (the ones without a son)
have another child. This adds 25,000 boys and 25,000 girls. There are now
75,000 boys and 75,000 girls. The proportion of male children still stands at
50%. There are still 25,000 families without a son. They add another 12,500
boys and an equal number of girls, and so on.
Some people are tempted to suppose that because all large families have many
daughters and a single son, there must be more girls than boys. However,
there are not many large families.11"
Answer 1.10,"The 10 ×10 macro-cube question has been very popular. The most
common mistake is for people to count the number of 1 ×1 micro-cubes on
each face and add them up. Even if you do the mathematics correctly (and
most people do not), you miss the whole point.
If you focus on the 1 ×1m i c r o - c u b e so nt h ef a c e sa n dh o wt oc o u n tt h e m
directly (e.g., How many faces? How many on each face? How many edges?),
then you have been bumped by the pickpocket’s accomplice (see story on
p. 286). Go back now and ﬁgure out a better way. As I stated before, the
path of greatest resistance bears the highest rewards, so read no further unless
you did it a better way.
You must look for structure in a problem that leads you to a simple and speedy
solution. The most structure here is to be found in the macro-cube you start
with and the (now slightly smaller) macro-cube that remains. The diﬀerence
between their volumes is how many micro-cubes fell.
The volume of a cube of side length nisncubed; that is, n3.T h ea n s w e ri s ,
therefore, 103−83.
How do you calculate this without a calculator? You should know that 10k
is a 1 with kzeroes attached, so 103=1,000. You should know that 8 = 23
and, therefore, that 83=23×3=29.Y o u s h o u l d d e ﬁ n i t e l y k n o w t h a t 210
11In fact, the average number of children per family is only/summ⎬tiontext∞
k=1k
2k= 2. This formula is a
special case of a more general series result:/summ⎬tiontext∞
k=1k
xk=x
(x−1)2,for|x|>1, derived as follows.
Assume |y|<1, then/summ⎬tiontext∞
k=0yk=1
1−y.N o w d i ﬀ e r e n t i a t e b o t h s i d e s w i t h r e s p e c t t o y,t oﬁ n d/summ⎬tiontext∞
k=0k·yk=y
(1−y)2.N o ws u b s t i t u t ei n y= 1/ x, for |x|>1, and drop the null ﬁrst term. Then,/summ⎬tiontext∞
k=1k
xk=1/x
(1−1/x)2=x
(x−1)2.I thank NK for pointing out this simple derivation; any errors are
mine.
©2021 Timothy Falcon Crack 111 All Rights Reserved Worldwide"
