Page,Content
60,"Chapter 1
Purely Quantitative & Logic
Questions
With a few exceptions, the only prerequisites for answering the questions in this
chapter are elementary quantitative skills and common sense. Some questions here
have both an elegant technique and a brute-force technique. The technique you
choose is revealing. Solutions for this chapter appear in Appendix A.
Question 1.1: /_387 You are given two glass jugs. Each contains the same volume,
V,o fl i q u i d . O n ej u gc o n t a i n sp u r ea l c o h o l ,a n dt h eo t h e rj u gc o n t a i n sp u r e
water. A modest quantity, Q,o fw a t e ri sp o u r e df r o mt h ew a t e rj u gi n t ot h e
alcohol jug, which is then thoroughly mixed. The same modest quantity, Q,
of (now diluted) alcohol is then poured back into the water jug to equalize the
volumes of the jugs at their initial levels.
The initial concentration of alcohol in the alcohol jug equals the initial concen-
tration of water in the water jug (at 100%). What is the relationship between
the ﬁnal concentrations of alcohol in the alcohol jug and water in the water
jug?1
Question 1.2: /_387 Fischer and Myron just stepped side-by-side onto a moving es-
calator. They are climbing up the stairs, and counting steps as they climb.
Myron is climbing more quickly than Fischer. Myron climbs three steps in
the time it takes Fischer to climb only two steps. Neither of them skips any
steps. Myron steps oﬀ at the top, having counted 25 steps. He waits at the
top for the slower Fischer, who steps oﬀ having counted only 20 steps. How
many steps are showing on the escalator at any instant?
Question 1.3: /_387 There are two bells. One rings ﬁve times per minute, and the
other rings four times per minute. If they start at the same time, how long
will it be until they next ring together?
1This is not a chemistry problem. Please ignore the fact that mixing a volume V1of water with
av o l u m e V2of alcohol results in a total volume less than V1+V2.F o l l o w - u pq u e s t i o n :R e p e a tt h e
mixing, and ask the same question. Now do it again, and again, and ask the same question.
©2021 Timothy Falcon Crack 48 All Rights Reserved Worldwide"
61,"Question 1.4: /_387 What is the sum of the integers from 1 to 100?2
Question 1.5: /_387 An old style analog clock falls oﬀ the wall and the face breaks into
three pieces. The numbers on each piece add to the same total. Describe the
pieces.
Question 1.6: /_387 (**) You are given a set of scales and 12 marbles. The scales are
of the old balance variety. That is, a small dish hangs from each end of a rod
that is balanced in the middle ( /_554). The device enables you to conclude either
that the contents of the dishes weigh the same or that the dish that falls lower
has heavier contents than the other.
The 12 marbles appear to be identical. In fact, 11 of them are identical, and
one is of a diﬀerent weight. Your task is to identify the unusual marble and
discard it. You are allowed to use the scales three times if you wish, but no
more. Note that the unusual marble may be heavier than the others, or it
may be lighter; you do not know which. You are asked to both identify it and
determine whether it is heavy or light.
Question 1.7: /_387 Suppose I inscribe a circle within a square so that the circle just
touches the four sides of the square. Suppose there is exactly enough room to
ﬁt a rectangle of dimensions 5 ×10 into one corner of the square so that the
rectangle just touches the circle. See Figure 1.1. What is the side length of
the square?
Question 1.8: /_387 Interviewer: “You are a bug sitting in one corner of a cubic room.
You wish to walk (no ﬂying) to the extreme opposite corner (the one farthest
from you). Describe the shortest path that you can walk. Be sure to mention
direction, length, and so on.”
Question 1.9: /_387 A mythical city contains 100,000 married couples but no children.
Each family wishes to “continue the male line,” but they do not wish to over-
populate. So, each family has one baby per annum until the arrival of the ﬁrst
boy. For example, if (at some future date) a family has ﬁve children, then it
must be either that they are all girls, and another child is planned, or that
there are four girls and one boy, and no more children are planned. Assume
that children are equally likely to be born male or female.
Letp(t)b et h ep e r c e n t a g eo f children that are male at the end of year t.H o w
is this percentage expected to evolve through time?
Story: One candidate for a futures trading position in Chicago was asked:
“Would you rather be beaten up, beat someone up, or run around the block
naked?” The last response did not get him the job. My wife was horriﬁed to
hear this story. Welcome to Chicago!
2More generally, what is the sum of the integers from 1 to n?
©2021 Timothy Falcon Crack 49 All Rights Reserved Worldwide"
62,"CHAPTER 1. PURELY QUANTITATIVE & LOGIC QUESTIONS
105
S?
Figure 1.1: The Inscribed Circle Question
Note: A circle is inscribed within a square. A rectangle of dimen-
sions 5 ×10 just ﬁts in one corner. What is the side length Sof
the square?
Question 1.10: /_387 Picture a 10 ×10×10 “macro-cube” ﬂoating in mid-air. The
macro-cube is composed of 1 ×1×1 “micro-cubes,” all glued together. Weather
damage causes the outermost layer of micro-cubes to become loose. This
outermost layer falls to the ground. How many micro-cubes are on the ground?
Question 1.11: /_387 There are two cities, A and B, 1,000 miles apart. You have
3,000 apples at City A, and you want to deliver as many as possible of them
to City B. The only delivery method available is a truck. There are, however,
two problems. The truck can hold at most only 1,000 apples, and if there are
any apples at all in the truck, the hungry dishonest driver will steal and eat
one apple for every mile he drives. What is the maximum number of apples
you can deliver from City A to City B? Note that you are welcome to stop
part way, dump oﬀ some apples, and then come back and pick them up later.
Question 1.12: /_387 How many degrees (if any) are there in the angle between the
hour and minute hands of a clock when the time is a quarter past three?
Question 1.13: /_387 What is the ﬁrst time after 3 pmwhen the hour and minute hands
of a clock are exactly on top of each other?
Question 1.14: /_387 There are 100 light bulbs lined up in a row in a long room. Each
bulb has its own switch and is currently switched oﬀ. The room has an entry
door and an exit door. There are 100 stockbrokers lined up outside the entry
©2021 Timothy Falcon Crack 50 All Rights Reserved Worldwide"
63,"door. Each bulb is numbered consecutively from 1 to 100. Each stockbroker
is numbered consecutively from 1 to 100.
Broker number 1 enters the room, switches on every bulb, and exits. Broker
number 2 enters and ﬂips the switch on every second bulb (turning oﬀ bulbs
2, 4, 6, ...). Broker number 3 enters and ﬂips the switch on every third bulb
(changing the state on bulbs 3, 6, 9, ...). This continues until all 100 brokers
have passed through the room.
What is the ﬁnal state of bulb number 64? Is it illuminated or dark?
Question 1.15: /_387 Exactly the same set-up as Question 1.14, with a diﬀerent ﬁnal
question: How many of the light bulbs are illuminated after the 100th person
has passed through the room, and which light bulbs are they?
Question 1.16: /_387 Your bedroom sock drawer contains eight red socks and 11 blue
socks that are otherwise identical. The light is broken in your bedroom, and
you must select your socks in the dark. What is the minimum number of socks
you need to take out of your drawer and carry into your (well-lit) living room
to guarantee that you have with you at least a matching pair to choose from?
Question 1.17: /_387 Following on from the previous question, can you generalize your
answer to otherwise-identical socks of Ndiﬀerent colors? For example, suppose
you have 50 socks of color 1, 50 socks of color 2, . . . , and 50 socks of color N,
how many socks must you pull from your sock drawer in the dark to guarantee
that you have a matching pair?
Question 1.18: /_387 Following on from the previous two questions, your bedroom
sock drawer contains 2 red, 4 yellow, 6 purple, 8 brown, 10 white, 12 green,
14 black, 16 blue, 18 gray, and 20 orange socks. It is dark, so you cannot
distinguish between the colors of the otherwise-identical socks. How many
socks do you need to take out of the drawer to guarantee that you have at
least three pairs of socks of the same color?
Story: One of my students was asked to “Describe the best boss you have
ever had. ” Watch out for the opposite question: “Describe the worst boss you
have ever had. ” Your answer may indicate disloyalty to a (former) employer.
Question 1.19: /_387 You and I are to play a competitive game. We shall take it in
turns to call out integers. The ﬁrst person to call out “50” wins. The rules
are as follows:
1. The player who starts must call out an integer between one and 10,
inclusive;
2. A new number called out must exceed the most recent number called by
at least one and by no more than 10. For example, if the ﬁrst player calls
out “nine,” then the range of valid numbers for the opponent is 10 to 19,
inclusive.
©2021 Timothy Falcon Crack 51 All Rights Reserved Worldwide"
64,"CHAPTER 1. PURELY QUANTITATIVE & LOGIC QUESTIONS
Do you want to go ﬁrst, and if so, what is your strategy?
Question 1.20: /_387 You are to open a safe without knowing the combination. Be-
ginning with the dial set at zero, the dial must be turned counter-clockwise to
the ﬁrst combination number, (then clockwise back to zero), and clockwise to
the second combination number, (then counter-clockwise back to zero), and
counter-clockwise again to the third and ﬁnal combination number, whereupon
the door shall immediately spring open; there is no handle or key to turn. The
dial has numbers from zero to 40, and the zero is not one of the combination
numbers.
Without knowing the combination numbers, what is the maximum number of
trials required to open the safe? One trial equals one attempt to dial a full
three-number combination, and you must start again from zero for each trial.
Story: 1. During the interview, an alarm clock went oﬀ from the candidate’s
briefcase. He took it out, shut it oﬀ, apologized, and said he had to leave
for another interview. 2. An applicant came in wearing only one shoe. She
explained that the other shoe was stolen oﬀ her foot in the bus.
Interview Horror Stories from Recruiters
Reprinted by kind permission of MBA Style Magazine
©1996–2021 MBA Style Magazine, www.mbastyle.com
Question 1.21: (**) You are given a set of scales and 90 coins (this question is
similar to Question 1.6). The scales are of the old balance variety. That is, a
small dish hangs from each end of a rod that is balanced in the middle. The
device enables you to conclude either that the contents of the dishes weigh
the same or that the dish that falls lower has heavier contents than the other.
You must pay $100 every time you use the scales.
The 90 coins appear to be identical. In fact, 89 of them are identical, and one
is of a diﬀerent weight. Your task is to identify the unusual coin and to discard
it while minimizing the maximum possible cost of weighing.3What is your
algorithm to complete this task? What is the most it can cost to identify the
unusual coin (assuming your strategy minimizes the maximum possible cost)?
Note that the unusual coin may be heavier than the others, or it may be
lighter. You are asked to both identify it and determine whether it is heavy
or light.4
Question 1.22: (***) Suppose that the function f(z) is complex valued in the
complex plane. Suppose also that f(z) is both bounded and entire. Prove
3As l i g h t l yd i ﬀ e r e n tt a s ki st om i n i m i z et h ee x p e c t e dc o s to fw e i g h i n g . M i n i m i z i n gt h ee x -
pected cost of weighing does not necessarily minimize the maximum possible cost. This is a subtle
distinction that you should not overlook.
4Does the answer change if you must identify the coin without saying whether it is heavy or
light?
©2021 Timothy Falcon Crack 52 All Rights Reserved Worldwide"
65,"that f(z)m u s tb eac o n s t a n t .5
Story: A student of mine was taken to a room and asked to choose a place
to sit at a long oval-shaped table. He chose a place at random. Later the
interviewer asked why he had chosen that spot. I think the intent was to see
if he was a leader (sitting at the head) or a follower (sitting at the side).
Question 1.23: /_387 Ih a v ed r o p p e d1 0 , 0 0 0a n t sr a n d o m l yo n t oar u l e rt h a ti so n e
meter (i.e., 100 centimeters) long and oriented to point north–south. The
ants are of very small size and mass. Each ant walks at a steady pace of
one centimeter per second in a straight line parallel to the long edge of the
ruler. Their initial direction is randomly either north or south. The ants are
all from the same colony and possess an inherited vision problem: they have
peripheral vision only. This means that they can collide with each other if
they meet head on (although very small, they are large enough to collide). If
two ants do collide head on, however, then they each turn around instantly
and head back the way they came at their steady pace. With so many ants in
one small space, a single ant may experience multiple collisions before it walks
oﬀ of the ruler. So, how long must you wait to be sure that all the ants have
walked oﬀ of the ruler?
Question 1.24: /_387 You start with a single lily pad sitting on an otherwise empty
pond. You are told that the surface area of the lily pad doubles every day
and that it will take 30 days for the single lily pad to cover the surface of the
pond.6
If instead of one lily pad you start with eight lily pads (each identical in
characteristics to the original single lily pad), how many days will it take for
the surface of the pond to become covered?
Question 1.25: /_387 Another lily pad problem. There are 27 lily pads on a pond.
Each of the lily pads is one square foot in area. The pond is 6,000 square feet
in area. Each lily pad doubles its size every day. How long until the pond is
covered in lily pads?
Question 1.26: /_387 Interviewer: “Alright, you’re from MIT; you must be a quanti-
tative type of person. ” Interviewee: (conﬁdently, after a slight pause) “Yes
indeed. ” Interviewer: “Give me the decimal equivalent of13
16and of9
16.”
Question 1.27: /_387 A snail is climbing up a 10-foot pole. It climbs up by three feet
every day. Each night it sleeps. While sleeping, it slides down by one foot.
When does it reach the top of the pole?
5Recall that an “entire” function is a function that is analytic in the entire ﬁnite complex plane.
Thus, f(z) may be represented by an everywhere-convergent power series: f(z)=/summ⎬tiontext∞
n=0anzn
(Holland [1973, p. 5]).
6The student who was asked this question says that his interviewer used the number 30. However,
he suggested that I use the number 3,000 to make it more complicated. What is wrong with saying
that it takes 3,000 days for the lily pad to cover the pond?
©2021 Timothy Falcon Crack 53 All Rights Reserved Worldwide"
66,"CHAPTER 1. PURELY QUANTITATIVE & LOGIC QUESTIONS
Question 1.28: /_387 A windowless room contains three identical light ﬁxtures, each
containing an identical light bulb. Each light ﬁxture is connected to one of
three switches outside of the room. Each bulb is switched oﬀ at present. You
are outside the room, and the door is closed. You may ﬂip any of the external
switches in any manner you choose. After this, you must take your hands oﬀ
the switches and then you may go into the room and do as you please (but
you will not be allowed to damage anything or touch the switches again). How
can you tell which switch goes to which light?
Question 1.29: /_387 Inside of a dark closet are ﬁve hats: three blue and two red.
Three smart men go into the closet, and each selects a hat in the dark and
places it unseen upon his head. Each man knows both that the closet con-
tains three blue hats and two red and that the other two men have the same
knowledge.
Once outside the closet, no man can see his own hat. The ﬁrst man looks
at the other two, thinks, and says, “I cannot tell what color my hat is.” The
second man hears this, looks at the other two, and says, “I cannot tell what
color my hat is either. ” The third man is blind. The blind man says, “Well, I
know what color my hat is.” What color is his hat, and how does he know?
Question 1.30: (**) Find the smallest positive integer that leaves a remainder
of 1 when divided by 2, a remainder of 2 when divided by 3, a remainder of 3
when divided by 4, ... and a remainder of 9 when divided by 10.
Question 1.31: /_387 There are two motorcyclists on a single lane road. They are 25
miles apart. At a signal, they start moving toward each other with constant
speeds. The ﬁrst motorcyclist rides at 20 mph; the second rides at 30 mph.
When the signal goes oﬀ, a ﬂy on the helmet of the ﬁrst motorcyclist is startled
and starts ﬂying toward the second motorcyclist at 40 mph. When the ﬂy
reaches the second motorcyclist (now moving toward the ﬁrst), he immediately
reverses course and ﬂies back to the ﬁrst motorcyclist. When the ﬂy gets back
to the ﬁrst motorcyclist, he reverses course again. The ﬂy continues to ﬂy
backwards and forwards between the two motorcyclists until they all collide.
How many miles will the ﬂy have traveled before his life is extinguished?
Question 1.32: Prove that the area of a triangle is given by
A=/r⎬dic⎬l⎜ig
s(s−a)(s−b)(s−c),
where a,b,a n d care the side lengths, and s≡a+b+c
2is the semi-perimeter.7
Story: Instead of being asked her greatest weakness, one of my students was
asked: “Why shouldn’t we hire you?” It is pretty diﬃcult to maneuver your
way out of that one!
7Mark Rubinstein kindly pointed out to me that this is “Heron’s Formula. ” Strogatz (2009,
pp. 143–152, 160) refers to it as “Hero’s Formula” and “Heron’s Formula. ”
©2021 Timothy Falcon Crack 54 All Rights Reserved Worldwide"
67,"Question 1.33: A,B,C,D,E,F,G,H,a n d I, are the nine integers from one
to nine (not necessarily in order). They satisfy the following constraints:
A+B+C+D=2 0 ,
B+C+D+E+F=2 0 ,
D+E+F+G+H=2 0 ,and
F+G+H+I=2 0
What values are taken by each of AtoI?
Question 1.34: Av e r yl a r g en u m b e r , N,o fp e o p l ea r r i v ea tac o n v e n t i o n .T h e r e
are exactly Nsingle rooms in the hotel where the convention takes place. Each
guest is given a numbered key for a speciﬁc room. Before they even go upstairs,
they are all invited to a large party in the banquet hall. To gain admittance
to the hall, they have to give up their keys to a doorman. At the end of the
evening, the guests are not sober enough to recall their room numbers, so the
doorman simply hands out the keys randomly. Each guest ends up spending
the night in a random room. What is the probability that at least one guest
ends up in the room to which he or she was originally assigned?
Question 1.35: /_387 At another party, everybody shakes hands with everybody else.
If there are 66 handshakes, how many people are at the party?
Question 1.36: There are 25 people at a party. What is the expected number of
pairs of people with the same birthday? For example, if John, Jon, Stephen,
and Mark all have the same birthday, say, January 15, but nobody else at the
party has a matching birthday, the count of pairs is six. (See also the next
two questions.)
Question 1.37: There are 25 people at another party. One person asks every-
body to announce their birthday, and for anyone who has the same birthday
as someone else to raise a hand. How many hands do you expect to see raised?
For example, if John, Jon, Stephen, and Mark all have the same birthday,
January 15, but nobody else at the party has a matching birthday, the count
of hands is four.
Question 1.38: Al i n ei sa b o u tt of o r mo u t s i d et h eb o xo ﬃ c eo fat h e a t e r . Y o u
have inside information that the manager plans to announce that he will give
a single free ticket to one person in line. To win the free ticket, it needs to be
true that you are the ﬁrst person in line who has someone ahead of you in line
with same birthday as you. When (or where) do you join the line to maximize
the probability of winning the free ticket?
Question 1.39: /_387 A small boat is ﬂoating in a swimming pool. The boat contains
av e r ys m a l lb u tv e r yh e a v yr o c k .I ft h er o c ki st o s s e do u to ft h eb o a ti n t ot h e
pool, what happens to the water level in the pool?
©2021 Timothy Falcon Crack 55 All Rights Reserved Worldwide"
68,"CHAPTER 1. PURELY QUANTITATIVE & LOGIC QUESTIONS
Question 1.40: (**) In a certain matriarchal town, the women all believe in an
old prophecy that says there will come a time when a stranger will visit the
town and announce whether any of the men folk are cheating on their wives.
The stranger will simply say “yes” or “no,” without announcing the number
of men implicated or their identities. If the stranger arrives and makes his
announcement, the women know that they must follow a particular rule: If
on any day following the stranger’s announcement a women deduces that her
husband is not faithful to her, she must kick him out into the street at 10 am
the next day. This action is immediately observable by every resident in the
town. It is well known that each wife is already observant enough to know
whether any man (except her own husband) is cheating on his wife. However,
no woman can reveal that information to any other. A cheating husband is
also assumed to remain silent about his inﬁdelity.
The time comes, and a stranger arrives. He announces that there are cheating
men in the town. On the morning of the tenth day following the stranger’s
arrival, some unfaithful men are kicked out into the street for the ﬁrst time.
How many of them are there?
Question 1.41: /_387 In front of you are three poles. One pole is stacked with 64 rings
ranging in weight from one ounce (at the top) to 64 ounces (at the bottom).
Your task is to move all the rings to one of the other two poles so that they
end up in the same order. The rules are that you can move only one ring at
at i m e ,y o uc a nm o v ear i n go n l yf r o mo n ep o l et oa n o t h e r ,a n dy o uc a n n o t
even temporarily place a ring on top of a lighter ring.
What is the minimum number of moves you need to make to achieve the task?
Story: Here are some Fermi problems from Section 5.5: “How many Mc-
Donald’s fast food outlets are there in the U.S.? How many gas stations are
there in the U.S.? How many elevators are there in the U.S.?”
Question 1.42: Solve the following ordinary diﬀerential equation (ODE):
u′′+u′+u=1
Question 1.43: Assume that the random variables XandYare normally dis-
tributed: X∼N(µX,σ2
X), and Y∼N(µY,σ2
Y). The correlation between X
andYisρ.H o w c a n y o u c h o o s e c o n s t a n t s aandbsuch that you minimize
the variance of the random variable sum S=aX+bYunder the constraints
that a+b=1 ,0 ≤a≤1, and 0 ≤b≤1?8
8Another version of this question asked in interviews is: “You are driving around with one wheel
on the gravel and one wheel on the pavement. The variance of the gravel and pavement surfaces
are described by σ2
Gandσ2
P. Whereabouts on the axle should you sit between x= 0 (right over
the wheel on the gravel) and x= 1 (right over the wheel on the pavement) if you want the most
comfortable ride?”
©2021 Timothy Falcon Crack 56 All Rights Reserved Worldwide"
69,"Question 1.44: Suppose there is a straight coastline and a lighthouse that is
L= 3 miles away from the coast. The light revolves at one revolution per
minute. How fast is the beam of light traveling along the coastline? When the
beam is 3 Laway from the coastal point closest to the light, how fast is the
light traveling along the coast?
Question 1.45: /_387 Ih a v ea2 0 ×20 chessboard and a very large box of identical
cubes. Each square on the chessboard is the same size as the face of any cube.
I am going to arrange piles of cubes on the chessboard in a special pattern.
Ia l i g no n ee d g eo ft h eb o a r ds oi ti sr u n n i n gn o r t h – s o u t h . Is t a r ta tt h e
northwest corner by placing one cube on that square. Whenever I step to the
south or the east, I place a pile of cubes containing one more cube than in the
previous square. This produces the pattern in Figure 1.2. How many cubes
in total are there on the chessboard?
1234···1920
2345···2021
3456···2122
4567···2223
.....................
19202122···3738
20212223···3839
Figure 1.2: Number of Cubes on Each Square of a 20 ×20 Chessboard (Q)
Question 1.46: You are standing at the center of a circular ﬁeld of radius R.T h e
ﬁeld has a low wire fence around it. Attached to the wire fence (and restricted
to running around the perimeter) is a large, sharp-fanged, hungry dog who
likes to eat any humans he can catch. You can run at speed v.U n f o r t u n a t e l y ,
the dog can run four times as fast, at 4 v.T h e d o g w i l l d o h i s b e s t t o c a t c h
you if you try to escape the ﬁeld. What is your running strategy to escape the
ﬁeld without feeding yourself to the dog?
Question 1.47: Please prove that the following relationship holds:
/integr⎬ldispl⎬y+∞
−∞e−x2dx=√π
©2021 Timothy Falcon Crack 57 All Rights Reserved Worldwide"
